"Eindeutige ID
(falls vorhanden)","Name der Akzeptanzstelle
(z.B. Bäckerei Höfner)","Straße
(z.B. Wertachstraße)","Hausnummer
(z.B. 10A)","5-stellige PLZ
(z.B. 80331)","Ort
(z.B. München)","Breitengrad in Grad als Dezimalzahl 
(z. B. 48.137154 für München)","Längengrad in Grad als Dezimalzahl
(z. B. 11.576124 für München)","Telefon
(z.B. 089/123456)","Email
(z.B. info@baeckerei.de)","Website-URL
(z.B. https://baeckerei.de)","Vergünstigungsbeschreibung
(z.B: Einen großes Heißgetränk kostenlos zu jedem Frühstücks-Gedeck)","Kategorie
(Zahl zwischen 0 und 9, siehe Tabellenblatt Kategorien)"
,Body&Art ,Zerzabelshofstr. ,43,90480,Nürnberg,,,0911/94185168,info@body-and-art.de,https://www.body-and-art.de/,"*Selbstverteidigung für Frauen:
10er Karte: 20% Ermäßigung.
*Selbstverteidigung für Kinder (ab 6J.):
10er Karte: 20% Ermäßigung.
*Hip Hop & Dance Mix (ab 3J.):
10er-Karte: 20% Ermäßigung
",7
,"Café Lichtblick, Familien-Bildungsstätte gGmbH Nürnberg",Leonhardstraße ,13,90443,Nürnberg,,,0911/2747660,info@fbs-nuernberg.de,https://www.fbs-nuernberg.de/begegnung/cafelichtblick/,"Offener, kostenfreier Treff für Senioren, donnerstags 14:30 – 16:30 Uhr mit schönen Highlights - mit und ohne Nürnberg-Pass",2
,Caritas-Pirckheimer-Haus,Königstr. ,64,90402,Nürnberg,,,0911/23460,akademie@cph-nuernberg.de,https://www.cph-nuernberg.de/,Ermäßigung der Eintrittspreise bei Veranstaltung,3
,Casablanca Filmkunsttheater Nürnberg,Brosamer Str. ,12,90459,Nürnberg,,,0911/454824,info@casablanca-nuernberg.de,https://www.casablanca-nuernberg.de/,"Eintritt: 4,- € und montags von 17 -20 Uhr: „Kassa blanco - Zahl so viel Du kannst“",4
,CCN 50+ e.V. ,"
Spitalgasse",22,90403,Nürnberg,,,0911/9928352,info@ccn50plus.de,https://www.ccn50plus.de/ccnweb1/,Mitgliedertarife z. B. bei einem Smartphone- oder Tabletkurs bei 2 Einheiten statt  30 € / 20 € oder bei 4 Einheiten statt 55  € / 35 €  + kostenlose Vorträge,6
,Center Apotheke im Franken Center,Glogauer Str.,30-38,90473,Nürnberg,,,0911/803016,info@centerapotheke.de,http://www.centerapotheke.de/,"10 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",5
,Deutsch Amerikanisches Institut,Gleißbühlstr.,9,90402,Nürnberg,,,0911/230690,mail@dai-nuernberg.de,https://www.dai-nuernberg.de/,Ermäßigung der Eintrittspreise bei Veranstaltung,9
,Deutsches Museum/Zukunftsmuseum ,Augustinerhof 4,4,90403,Nürnberg,,,0911/21548880,besucherservice-dmn@deutsches-museum.de,https://www.deutsches-museum.de/nuernberg,"6,00 €  Für Kinder bis einschließlich 5 Jahre feier Eintritt",2
,"Digitale Hilfen
Stadtbibliothek Maxfeld",Maxfeldstraße ,27,90409,Nürnberg ,,,0911/2312460,,https://www.nuernberg.de/internet/stadtbibliothek/maxfeld.html,Dienstagnachmittag 15:00 – 16:00 Uhr  -  kostenlos,6
,Dokumentationszentrum Reichsparteitagsgelände,Bayernstr. ,110,90478,Nürnberg,,,0911/2315666,nur Kontaktformular,Dokumentationszentrum Reichsparteitagsgelände (nuernberg.de),"Eintritt 1,50 €",2
,Erfahrungsfeld zur Entfaltung der Sinne,Emilienstraße ,5,90489,Nürnberg,,,0911/2313165,,https://www.nuernberg.de/internet/kuf_kultur/erfahrungsfeld_wirueberuns.html,50% Ermäßigung auf die Einzelpreise,2
,Evang. Familien-Bildungsstätte Nbg,Leonhardstr. ,13,90443,Nürnberg,,,0911/2747660,info@fbs-nuernberg.de,https://www.fbs-nuernberg.de/,Ca. 30 % Ermäßigung auf die Kursgebühren ,9
,"Evangelische Fachstelle Alleinerziehende, Haus eckstein ",Burgstr. ,1-3,90403,Nürnberg,,,0911/2142102,alleinerziehende.nuernberg@elkb.de,https://www.alleinerziehende-nuernberg.de/,Ermäßigung auf Veranstaltungen,9
,Evangelische Stadtakademie Nürnberg,Burgstr. ,1-3,90403,Nürnberg,,,0911/2142121,stadtakademie.nuernberg@elkb.de,https://www.evangelische-stadtakademie-nuernberg.de/startseite.html,Ermäßigung auf Veranstaltungen,9
,Familienbildung „Zoff + Harmonie“,Vordere Sterngasse ,1,90402,Nürnberg,,,0911/24449493,zoff-harmonie@stadtkirche-nuernberg.de,https://zoff-harmonie.de/,Ermäßigungen,9
,"Ferienprogramm:
Amt für Kinder, Jugendliche und Familien - Jugendamt ","Dietzstraße 4 Erdgeschoss, Zimmer 20",4,90443,Nürnberg,,,0911 231-8560 ,,https://www.nuernberg.de/internet/ferien/#1,Ermäßigungen bei Angeboten ab 10€ - bis zu 60 % auf ausgfewählte Angebote für Kinder und Jugendliche 6 - 16 Jahre,2
,Filmhauskino,Königstr. ,93,90402,Nürnberg,,,0911/2317340,nur Kontaktformular ,https://www.kunstkulturquartier.de/footernav/impressum,"Eintritt 4,50 €",4
,Freibad Naturgarten,Schlegelstr. ,20,90491,Nürnberg,,,0911/592545,tourismus@nuernberg.de,https://tourismus.nuernberg.de/buchen/nuernberg-card/location/freibad-naturgarten/,"Tarifstufe I: Erwachsener: 3,20 € -  Kinder/Jugendliche: 1,70 €  - 20-er-Karte  Kinder/Jugendliche: 25,20 € + Erwachsene: 57,00 € - Abendtarif, Freibädern ab 17 Uhr Kinder/Jugendliche: 1,30 € - Erwachsene: 2,30 €",7
,Freibad Stadion,Hans-Kalb-Str. ,42,90471,Nürnberg,,,0911/869287,,https://nuernbergbad.nuernberg.de/stadionbad/?L=0,"Tarifstufe I: Erwachsener: 3,20 € -  Kinder/Jugendliche: 1,70 €  - 20-er-Karte  Kinder/Jugendliche: 25,20 € + Erwachsene: 57,00 € - Abendtarif, Freibädern ab 17 Uhr Kinder/Jugendliche: 1,30 € - Erwachsene: 2,30 €",7
,Freibad West,Wiesentalstr. ,41,90419,Nürnberg,,,0911/330262,,https://nuernbergbad.nuernberg.de/westbad/,"Tarifstufe I: Erwachsener: 3,20 € -  Kinder/Jugendliche: 1,70 €  - 20-er-Karte  Kinder/Jugendliche: 25,20 € + Erwachsene: 57,00 € - Abendtarif, Freibädern ab 17 Uhr Kinder/Jugendliche: 1,30 € - Erwachsene: 2,30 €",7
,Gemeinschaftshaus Langwasser,Glogauer Str. ,50,90473,Nürnberg,,,0911/99803-0,,https://www.nuernberg.de/internet/kuf_kultur/gemeinschaftshaus_langwasser.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung
",2
,Germanisches Nationalmuseum,Kartäusergasse ,1,90402,Nürnberg,,,0911/13310,,https://www.gnm.de/,2 € - Familienkarte 5 €- Kinder bis einschließlich 5 Jahre  freier Eintritt,2
,Geschichte für Alle e.V.,Wiesentalstr. ,32,90419,Nürnberg,,,0911/307360,info@geschichte-fuer-alle.de,https://www.geschichte-fuer-alle.de/stadtfuehrungen-nuernberg-fuerth-erlangen-bamberg#!/cal-d/2022-11-17/cw/d6c9996ab986d324ad3881a234989541,"Stadtrundgänge: 7,00€",2
,"Gesundheitsamt, Rübe - Turnen",Burgstr. ,4,90403,Nürnberg,,,0911 2312585 / 2312159,,https://www.nuernberg.de/internet/gesundheitsamt/ruebe.html, Das Rücken- und Bewegungsturnen (RüBe) Kostenfrei - Schwimmkurse 50% ,7
,Gibitzenhof Apotheke,Gibitzenhofstr. ,103,90443,Nürnberg,,,0911/413330,info@gibitzenhofapotheke.de,www.gibitzenhofapotheke.de," 20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",5
,Gostner Hoftheater ,Austr. ,70,90429,Nürnberg,,,0911/261510,info@gostner.de,https://www.gostner.de/, Kostenfrei an bestimmtenTagen - Ermäßigung der Eintrittspreise,4
,Hallenbad Katzwang,Katzwanger Hauptstr. ,21,90453,Nürnberg,,,09122/76611, nuernbergbad@stadt.nuernberg.de,https://nuernbergbad.nuernberg.de/katzwangbad/,"Tarifstufe I: Erwachsener: 3,20 € -  Kinder/Jugendliche: 1,70 €  - 20-er-Karte  Kinder/Jugendliche: 25,20 € + Erwachsene: 57,00 € - Abendtarif, Freibädern ab 17 Uhr Kinder/Jugendliche: 1,30 € - Erwachsene: 2,30 €",7
,Hallenbad Langwasser,Breslauer Str. ,251,90471,Nürnberg,,,0911/803979, nuernbergbad@stadt.nuernberg.de,https://nuernbergbad.nuernberg.de/langwasserbad/,"Tarifstufe I: Erwachsener: 3,20 € -  Kinder/Jugendliche: 1,70 €  - 20-er-Karte  Kinder/Jugendliche: 25,20 € + Erwachsene: 57,00 € - Abendtarif, Freibädern ab 17 Uhr Kinder/Jugendliche: 1,30 € - Erwachsene: 2,30 €",7
,Hallenbad Nordost ,Elbinger Str. ,85,90491,Nürnberg,,,0911/515025,nuernbergbad@stadt.nuernberg.de,https://nuernbergbad.nuernberg.de/nordostbad/,"2 Stunden:Erwachsene: 3,20 € -  6 – 17 J.: 1,70 € 4 Stunden: Erwachsene: 4,60 € 6 – 17 J: 2,20 €
Tageskarte: Erwachsene: 6,40 € - 6 – 17 J: 2,90 € 20-er-Karte Erwachsene: 57,00 € 6 – 17 J: 25,20 €
",7
,Hallenbad süd.stadt.bad,Allersberger Str. ,120,90461,Nürnberg,,,0911/23114164, nuernbergbad@stadt.nuernberg.de,https://nuernbergbad.nuernberg.de/suedstadtbad/,"2 Stunden:Erwachsene: 3,20 € -  6 – 17 J.: 1,70 € 4 Stunden: Erwachsene: 4,60 € 6 – 17 J: 2,20 €
Tageskarte: Erwachsene: 6,40 € - 6 – 17 J: 2,90 € 20-er-Karte Erwachsene: 57,00 € 6 – 17 J: 25,20 €
",7
,Hirsch Apotheke,Bucher Str. ,37a,90419,Nürnberg,,,0911/330079,info@hirsch-apotheke-lage.de,https://www.hirsch-apotheke-lage.de/,"In der Regel 15%  Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",5
,Hochschule für Musik Nürnberg,Veilhofstraße,34,90489,Nürnberg,,,0911/21522102,info@hfm-nuernberg.de ,https://www.hfm-nuernberg.de/hochschule/,Allgemeine Ermäßigung ,3
,Jugendamt    Ferienprogramm,Dietzstr. ,4,90443,Nürnberg,,,0911/2318560,,https://www.nuernberg.de/internet/ferien/ferien_zeitraum.html,"Ermäßigungen 50% Außerdem können zusätzlich die gelben Bildung- und Teilhabe-Gutscheine einlöst werden.
 Zusätzlich weitere Vergünstigungen bei ausgewählten Programmpunkten. Dann wird es noch günstiger.",2
,Kaiserburgmuseum,Burg,17,90403,Nürnberg,,,0911/2009540,info@gnm.de.,https://www.gnm.de/ausstellungen/kaiserburg-museum-eine-aussenstelle-des-gnm/kaiserburg-museum/,Ermäßigung,2
,Kassen- und Steueramt Stadt Nürnberg - Hundesteuer,Theresienstr. ,7,90403,Nürnberg,,,0911/2312453,,https://www.nuernberg.de/internet/referat2/hundesteuer.html,Steuerermäßigung um 50% für den ersten Hund auf Antrag,9
,Kinderkultur,Michael-Ende-Str.,17,90439,Nürnberg,,,0911/2315404,,https://www.nuernberg.de/internet/kuf_kultur/kinderkultur.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung



",2
,Kugel Apotheke,Rathausplatz ,5,90403,Nürnberg,,,,,,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",5
,Kulturbüro Muggenhof,Muggenhofer Str. ,141,90429,Nürnberg,,,0911/6509493,,https://www.nuernberg.de/internet/kuf_kultur/kulturbuero_muggenhof.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung



",2
,Kulturkarten für Senioren und behinderte Menschen BürgerInformationsZentrum ,Hauptmarkt ,18,90403,Nürnberg,,,0911/2310,nur Kontaktformular ,https://www.nuernberg.de/internet/buergerinfo/,Kulturkarten für Senioren (9€ jährlich) und behinderte Menschen (6 € jährlich bei 50% Schwerbehinderung) ,2
,Kulturladen  Gartenstadt,Frauenlobstr. ,7,90469,Nürnberg,,,0911/482318,,https://www.nuernberg.de/internet/kuf_kultur/kulturladen_gartenstadt.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung



",2
,Kulturladen Röthenbach,Röthenbacher Hauptstr. ,74,90449,Nürnberg,,,0911/645191,,https://www.nuernberg.de/internet/kuf_kultur/kulturladen_roethenbach.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung



",2
,Kulturladen Schloss Almoshof,Almoshofer Hauptstr. ,49-53,90427,Nürnberg,,,0911/93449470,,https://www.nuernberg.de/internet/kuf_kultur/kulturladen_almoshof.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung



",2
,Kulturladen Zeltnerschloss,Gleißhammerstr. ,6,90480,Nürnberg,,,0911/472945,,https://www.nuernberg.de/internet/kuf_kultur/kulturladen_zeltnerschloss.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung



",2
,Kulturladen Ziegelstein,Ziegelsteinstr. ,104,90411,Nürnberg,,,0911/525462,,https://www.nuernberg.de/internet/kuf_kultur/kulturladen_ziegelstein.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung



",2
,"KulturTicketNürnberg, Bürgerstiftung Nürnberg",Nordring ,98,90409,Nürnberg,,,0911/6604557,,https://www.nuernberg.de/internet/kuf_kultur/kultur_ticket.html,Kostenlose Eintrittskarten für Kulturveranstaltungen ,2
,Kunst- und Kulturpädagogisches Zentrum der Museen in Nürnberg (KPZ),Kartäusergasse ,1,90402,Nürnberg,,,0911/1331238 ,schulen@kpz-nuernberg.de,https://kpz-nuernberg.de/,Erlass der Führungsgebühren für Kinder und Jugendliche bei  Kinder- und Familienführungen bzw. öffentlichen Malwerkstätten für Kinder in Nürnberger Museen,2
,Kunsthalle,Lorenzer Str. ,32,90402,Nürnberg,,,0911/2312853,,https://www.kunstkulturquartier.de/kunsthalle/,1 € - Jugendliche bis 18 Jahren frei -  Mittwoch 18-20 Uhr frei,2
,Kunsthaus,Königstr. ,93,90402,Nürnberg,,,0911/23114678,,https://www.kunstkulturquartier.de/kunsthaus/,1 € - Jugendliche bis 18 Jahren frei -  Mittwoch 18-20 Uhr frei,2
,Kunstvilla,Blumenstr. ,17,90402,Nürnberg,,,0911/23114015,,https://www.kunstkulturquartier.de/kunstvilla/,1 € - Jugendliche bis 18 Jahren frei -  Mittwoch 18-20 Uhr frei,2
,"Leihtablets (iPads) Seniornnetzwerk West, Seniorennetzwerk Eberhardshof / Muggenhof / Gostenhof, im Quartiersbüro Weststadt",Fürther Straße ,194,90429,Nürnberg,,,0911/30003119,seniorennetzwerk.west@diakoneo.de,https://www.ambulantepflege-nuernberg.de/standorte/seniorennetzwerk-eberhardshof-muggenhof-gostenhof-und-weststadt,"Für Seniorinnen und Senioren - in Verbindung mit einer Schulung –kostenfrei für Nürnberg-Pass, mit Wohnort in den jeweiligen Stadtteilen ",6
,"Leihtablets (iPads), Seniorennetzwerk Nord, DIAKONEO KdöR",Schmausengartenstr. ,10,90409,Nürnberg,,,0911/30003139,seniorennetzwerk.west@diakoneo.de,https://www.diakoneo.de/presse/digitale-kompetenz-fuer-senioren/,"Für Seniorinnen und Senioren - in Verbindung mit einer Schulung –kostenfrei für Nürnberg-Pass, mit Wohnort in den jeweiligen Stadtteilen ",6
,Lochgefängnisse,Rathausplatz ,2,90403,Nürnberg,,,0911/2312690,,https://museen.nuernberg.de/lochgefaengnisse/,Ermäßigung,2
,Loni-Übler-Haus,Marthastr. ,60,90482,Nürnberg,,,0911/541156,,https://www.nuernberg.de/internet/kuf_kultur/kulturladen_loni_uebler_haus.html,"50 % Ermäßigung auf Tageskassenpreise
Zusätzlich: bei eigenen städtischen Angeboten für Einzelveranstaltungen maximaler Preis: 5,00€
Bei Seminaren u. Kursen: 50 % Ermäßigung



",2
,Mehrgenerationenhaus Nürnberg Schweinau,Schweinauer Hauptstr. ,31,90441,Nürnberg,,,0911/6279162,gabriele.struempl@sos-kinderdorf.de,https://www.sos-kinderdorf.de/kinderdorf-nuernberg/angebote/mehrgenerationenhaus,"Für Seniorinnen und Senioren Mittagessen: Mo -Fr 12:00 – 13:00 Uhr Kosten: 3,50 € pro Essen",0
,Memorium Nürnberger Prozesse,Bärenschanzstr. ,72,90429,Nürnberg,,,0911/32179372,,https://museen.nuernberg.de/memorium-nuernberger-prozesse/,"Eintritt: 1,50 € (altersunabhängig) ",2
,Mittagstisch St. Ludwig ,Straßburger Str. ,10,90443,Nürnberg,,,0911/424870, info@stl-nbg.de,https://st-ludwig-nuernberg.de/,"Für Seniorinnen und Senioren Mittagessen: Mo -Fr 12:00 – 13:00 Uhr Kosten:2,50 € pro Essen",0
,Mohren-Apotheke Südstadt,Wölckernstr. ,1,90459,Nürnberg,,,0911/944560,info@mohren-apotheke-sued.de,https://www.mohren-apotheke-sued.de/,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",5
,Moritz Apotheke ,Moritzbergstraße ,53,90482,Nürnberg,,,0911/9506966,max@moritzapotheke.de,https://www.moritzapotheke.com/,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse  nicht bezahlt („grüne Rezepte“)",5
,Museum für Kommunikation,Lessingstr. ,6,90443,Nürnberg,,,0911/2308885,mfk-nuernberg@mspt.de,https://www.mfk-nuernberg.de/,"Eintritt: 1,50 € (altersunabhängig) ",2
,Museum Industriekultur,Äußere Sulzbacher Str. ,62,90491,Nürnberg,,,0911/2313875,,https://museen.nuernberg.de/museum-industriekultur/,"Eintritt: 1,50 € (altersunabhängig) ",2
,Musikschule Nürnberg,Bartholomäusstr. ,16,90489,Nürnberg,,,0911/2313023,,https://www.nuernberg.de/internet/musikschule/,50 % Ermäßigung des Schulgelds,3
,MUZ - Musikzentrale Nürnberg,Fürther Str. ,63,90429,Nürnberg,,,0911/266622,info@musikzentrale.com ,https://www.musikzentrale.com/,Ermäßigung 50 % bei eigenen Veranstaltungen,2
,Nachbarschaftshaus Gostenhof,Adam-Klein-Str. ,6,90429,Nürnberg,,,0911/2317080,,https://www.nuernberg.de/internet/nh_gostenhof/,50 % Ermäßigung (für eigene Angebote des Nachbarschaftshauses),2
,Nicolaus-Copernicus-Planetarium,Am Plärrer ,41,90429,Nürnberg,,,0911/9296553,planetarium@stadt.nuernberg.de,http://www.planetarium-nuernberg.de/,Ermäßigungen,2
,"Noa Noris Arbeit GGmbH, Unikat Shop ",Spitalgasse ,22,90403,Nürnberg,,,0911/80198291,noris.arbeit@noa.nuernberg.de,https://www.noa-nuernberg.de/dienstleistungen/unikat-shop/,Auf fast alles 50%,1
,Nürnberger Symphoniker,Bayernstr. ,100,90471,Nürnberg,,,0911/474010,info@nuernbergersymphoniker.de,https://www.nuernbergersymphoniker.de/,50 % Ermäßigung (Samstagabend eingeschränkt),4
,Offene Fahrradwerkstatt St.Ludwig,Straßburger Str. ,10,90443,Nürnberg,,,,,,Kostengünstige Ersatzteile - kostenlos selbst reparieren -  kostenloses Werkzeug wird zur Verfügung gestellt,8
,Pocket opera company,Rollnerstr. ,110a,90408,Nürnberg,,,0911/329047,info@pocket-opera.de,https://www.pocket-opera.de/,50% Ermäßigung,4
,Ratibor-Apotheke,Ratiborstr. ,23,90473,Nürnberg,,,0911/899069,ratibor-apotheke@t-online.de,https://www.ratibor-apotheke-app.de/,"20 % Ermäßigung auf nicht verschreibungspflichtige Medikamente, die die Kasse nicht bezahlt („grüne Rezepte“) - außer Angebotspreise",5
,Senioren Cafe Mugg,Sigmundstrasse ,11a,90429,Nürnberg,,,0911/3130752,nur Kontaktformular,https://www.stadtteilforum.org/stadtteile/eberhardshof-muggenhof/einrichtungen/einrichtungen/show/cafe-mugg-in-den-raeumlichkeiten-der-gemeinde-schutzengel.html,"in den Räumlichkeiten der Gemeinde Schutzengel. Jeden zweiten und vierten Montag im Monat von 14 bis 16 Uhr (außer an Feiertagen und im August) - mit und ohne Nürnberg-Pass",2
,Seniorentreff Heilig-Geist,Spitalgasse ,22,90403,Nürnberg,,,0911/2314696,seniorentreffs@stadt.nuernberg.de,https://www.nuernberg.de/internet/nuernbergstift/heilig_geist_spital.html,Kurse der Treffs Bleiweiß und Heilig-Geist - keine Kursgebühren - je Kurs lediglich eine pauschale Bearbeitungsgebühr von 5 Euro. ,7
,Seniorentreff Heilig-Geist,Spitalgasse ,22,90403,Nürnberg,,,0911/2314696,seniorentreffs@stadt.nuernberg.de,https://www.nuernberg.de/internet/nuernbergstift/heilig_geist_spital.html,Kurse der Treffs Bleiweiß und Heilig-Geist - keine Kursgebühren - je Kurs lediglich eine pauschale Bearbeitungsgebühr von 5 Euro. ,2
,Seniorentreff Bleiweiß,Hintere Bleiweißstr. ,15,90461,Nürnberg,,,0911/2318232,seniorentreffs@stadt.nuernberg.de,https://www.nuernberg.de/internet/seniorenamt/weitere_seniorentreffs.html,Kurse der Treffs Bleiweiß und Heilig-Geist - keine Kursgebühren - je Kurs lediglich eine pauschale Bearbeitungsgebühr von 5 Euro. ,7
,Seniorentreff Bleiweiß,Hintere Bleiweißstr. ,15,90461,Nürnberg,,,0911/2318232,seniorentreffs@stadt.nuernberg.de,https://www.nuernberg.de/internet/seniorenamt/weitere_seniorentreffs.html,Kurse der Treffs Bleiweiß und Heilig-Geist - keine Kursgebühren - je Kurs lediglich eine pauschale Bearbeitungsgebühr von 5 Euro. ,2
,Seniorentreff Bleiweiß,Hintere Bleiweißstr. ,15,90461,Nürnberg,,,0911/2318232,seniorentreffs@stadt.nuernberg.de,https://www.nuernberg.de/internet/seniorenamt/weitere_seniorentreffs.html,"Veranstaltungen des Treffs Bleiweiß für Senioren                                          viele kostenlose und bis zu 50 % vergünstigte, Veranstaltungen, Ausflüge und mehr…",2
,Seniorentreff Wörd,Nunnenbeckstraße ,47,90489,Nürnberg,,,0911/5301295,,https://www.kvnuernberg-stadt.brk.de/angebote/senioren/seniorentreff-woehrd.html,"Mittagstisch für Seniorinnen und Senioren Mo-Fr 12:00-13:00 Uhr Kosten: 3,50 € pro Essen",0
,Siemens Orchester Nürnberg e.V.,Humboldtstraße ,59,90459,Nürnberg,,,0911/4805144,info@siemens-orchester-nuernberg.de,https://son.siemens-orchester-nuernberg.de/,50 % Ermäßigung,4
,SIGENA Mögeldorf,Ostendstraße ,85,90482,Nürnberg,,,0911/58793334,,https://www.lhnbg.de/informieren/lebenshilfe/sigena-moegeldorf/,Mittagessen: Dienstag 12:00-13:00 Uhr,0
